PROCEDIMENTO,RN(alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
ROL,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,,,,,,,Subgrupo,Grupo,Capítulo
CEDIMENTOS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,,,,,,,Subgrupo,Grupo,Capítulo
(RN,465/2021,01/04/2021,,,,,,,,Subgrupo,Grupo,Capítulo
e,,,,,,,,,,Subgrupo,Grupo,Capítulo
RN,473/2021,08/11/2021,,,,,,,,Subgrupo,Grupo,Capítulo
RN,478/2022,20/01/2022,,,,,,,,Subgrupo,Grupo,Capítulo
RN,480/2022,14/02/2022,,,,,,,,Subgrupo,Grupo,Capítulo
RN,536/2022,06/05/2022,,,,,,,,Subgrupo,Grupo,Capítulo
RN,538/2022,22/10/2022,,,,,,,,Subgrupo,Grupo,Capítulo
RN,541/2022,01/08/2022,,,,,,,,Subgrupo,Grupo,Capítulo
RN,542/2022,01/09/2022,,,,,,,,Subgrupo,Grupo,Capítulo
RN,544/2022,21/09/2022,,,,,,,,Subgrupo,Grupo,Capítulo
RN,546/2022,03/10/2022,,,,,,,,Subgrupo,Grupo,Capítulo
RN,571/2023,10/02/2023,,,,,,,,Subgrupo,Grupo,Capítulo
RN,577/2023,09/05/2023,,,,,,,,Subgrupo,Grupo,Capítulo
RN,581/2023,12/07/2023,,,,,,,,Subgrupo,Grupo,Capítulo
RN,582/2023,01/08/2023,,,,,,,,Subgrupo,Grupo,Capítulo
RN,584/2023,01/09/2023,,,,,,,,Subgrupo,Grupo,Capítulo
RN,592/2023,18/12/2023,,,,,,,,Subgrupo,Grupo,Capítulo
RN,599/2024,05/03/2024,,,,,,,,Subgrupo,Grupo,Capítulo
RN,600/2024,01/04/2024,,,,,,,,Subgrupo,Grupo,Capítulo
RN,603/2024,02/05/2024,,,,,,,,Subgrupo,Grupo,Capítulo
RN,606/2024,21/06/2024,,,,,,,,Subgrupo,Grupo,Capítulo
RN,607/2024,01/07/2024,,,,,,,,Subgrupo,Grupo,Capítulo
RN,610/2024,01/08/2024,,,,,,,,Subgrupo,Grupo,Capítulo
RN,619/2024,02/01/2025,,,,,,,,Subgrupo,Grupo,Capítulo
RN,624/2024,03/02/2025,,,,,,,,Subgrupo,Grupo,Capítulo
RN,625/2024,23/12/2024,,,,,,,,Subgrupo,Grupo,Capítulo
RN,627/2024,,,,,,,,,Subgrupo,Grupo,Capítulo
,,,,,,,,,,Subgrupo,Grupo,Capítulo
SESSÃO ACOMPANHAMENTO DE PACIENTESPROCEDIMENTOS GERAIS PROCEDIMENTOS GERAIS,541/2022,01/08/2022,,AMB,,,REF,,,Subgrupo,Grupo,Capítulo
CONSULTA/AVALIAÇÃO ACOMPANHAMENTO DE PACIENTESPROCEDIMENTOS GERAIS PROCEDIMENTOS GERAIS,541/2022,01/08/2022,,AMB,,,REF,,,Subgrupo,Grupo,Capítulo
SESSÃO ACOMPANHAMENTO DE PACIENTESPROCEDIMENTOS GERAIS PROCEDIMENTOS GERAIS,541/2022,01/08/2022,,AMB,,,REF,,,Subgrupo,Grupo,Capítulo
CONSULTA ACOMPANHAMENTO DE PACIENTESPROCEDIMENTOS GERAIS PROCEDIMENTOS GERAIS,,,,AMB,,,REF,,,Subgrupo,Grupo,Capítulo
CONSULTA/AVALIAÇÃO ACOMPANHAMENTO DE PACIENTESPROCEDIMENTOS GERAIS PROCEDIMENTOS GERAIS,541/2022,01/08/2022,,AMB,,,REF,PAC,,Subgrupo,Grupo,Capítulo
SESSÃO ACOMPANHAMENTO DE PACIENTESPROCEDIMENTOS GERAIS PROCEDIMENTOS GERAIS,541/2022,01/08/2022,,AMB,,,REF,PAC,,Subgrupo,Grupo,Capítulo
"TRANSPORTE ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAÚDEHCO HSO REFCONSULTAS, VISITAS HOSPITALARES OU",,,,,,,,PAC,,Subgrupo,Grupo,Capítulo
"ACOMPANHAMENTO VISITA HOSPITALAR HCO HSO REFCONSULTAS, VISITAS HOSPITALARES OU",,,,,,,,PAC,,Subgrupo,Grupo,Capítulo
ACOMPANHAMENTO ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE CÓRNEA HCO HSO REF AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,PAC,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE MEDULA ÓSSEA HCO HSO REF AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE HEPÁTICO 546/2022 03/10/2022 HCO HSO REF AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
